Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
7/11/2023,269.79,268.65,270.9,266.37,91.97M,0.07%,-0.77%,0.07%,0.00%,,,,,0.00%
7/10/2023,269.61,276.47,277.52,265.1,119.43M,-1.76%,-0.77%,0.00%,-1.76%,,,,,0.00%
7/7/2023,274.43,278.43,280.78,273.77,113.88M,-0.76%,-0.92%,0.00%,-0.76%,,,,,0.00%
7/6/2023,276.54,278.09,279.97,272.88,120.71M,-2.10%,-0.94%,0.00%,-2.10%,,,,,0.00%
7/5/2023,282.48,278.82,283.85,277.6,131.53M,0.95%,-0.94%,0.95%,0.00%,,,,,0.00%
7/3/2023,279.82,276.49,284.25,275.11,119.69M,6.90%,-0.94%,6.90%,0.00%,,,,,0.00%
6/30/2023,261.77,260.6,264.45,259.89,112.62M,1.66%,-0.95%,1.66%,0.00%,,,,,0.00%
6/29/2023,257.5,258.03,260.74,253.61,131.28M,0.49%,-0.97%,0.49%,0.00%,,,,,0.00%
6/28/2023,256.24,249.7,259.88,248.89,159.77M,2.41%,-1.05%,2.41%,0.00%,,,,,0.00%
6/27/2023,250.21,243.24,250.39,240.85,164.97M,3.80%,-1.06%,3.80%,0.00%,,,,,0.00%
6/26/2023,241.05,250.06,258.37,240.7,179.99M,-6.06%,-1.10%,0.00%,-6.06%,,,,,0.00%
6/23/2023,256.6,259.29,262.45,252.8,177.46M,-3.03%,-1.10%,0.00%,-3.03%,,,,,0.00%
6/22/2023,264.61,250.77,265,248.25,166.88M,1.98%,-1.11%,1.98%,0.00%,,,,,0.00%
6/21/2023,259.46,275.13,276.99,257.78,211.80M,-5.46%,-1.12%,0.00%,-5.46%,,,,,0.00%
6/20/2023,274.45,261.5,274.75,261.12,165.61M,5.34%,-1.14%,5.34%,0.00%,,,,,0.00%
6/16/2023,260.54,258.92,263.6,257.21,167.92M,1.81%,-1.14%,1.81%,0.00%,,,,,0.00%
6/15/2023,255.9,248.4,258.95,247.29,160.17M,-0.35%,-1.15%,0.00%,-0.35%,,,,,0.00%
6/14/2023,256.79,260.17,261.57,250.5,170.58M,-0.74%,-1.16%,0.00%,-0.74%,,,,,0.00%
6/13/2023,258.71,253.51,259.68,251.34,162.38M,3.55%,-1.16%,3.55%,0.00%,,,,,0.00%
6/12/2023,249.83,247.94,250.97,244.59,150.74M,2.22%,-1.19%,2.22%,0.00%,,,,,0.00%
6/9/2023,244.4,249.07,252.42,242.02,200.24M,4.06%,-1.19%,4.06%,0.00%,,,,,0.00%
6/8/2023,234.86,224.22,235.23,223.01,164.49M,4.58%,-1.25%,4.58%,0.00%,,,,,0.00%
6/7/2023,224.57,228,230.83,223.2,185.71M,1.47%,-1.36%,1.47%,0.00%,,,,,0.00%
6/6/2023,221.31,216.14,221.91,212.53,146.91M,1.70%,-1.37%,1.70%,0.00%,,,,,0.00%
6/5/2023,217.61,217.8,221.29,214.52,151.14M,1.70%,-1.40%,1.70%,0.00%,,,,,0.00%
6/2/2023,213.97,210.15,217.25,209.75,164.40M,3.11%,-1.43%,3.11%,0.00%,,,,,0.00%
6/1/2023,207.52,202.59,209.8,199.37,148.03M,1.76%,-1.43%,1.76%,0.00%,,,,,0.00%
5/31/2023,203.93,199.78,203.95,195.12,150.71M,1.38%,-1.46%,1.38%,0.00%,,,,,0.00%
5/30/2023,201.16,200.1,204.48,197.53,128.82M,4.14%,-1.47%,4.14%,0.00%,,,,,0.00%
5/26/2023,193.17,184.62,198.6,184.53,162.06M,4.72%,-1.48%,4.72%,0.00%,,,,,0.00%
